Filename	Segment	posemo	negemo
211.txt	1	0.00	0.00
205.txt	1	0.00	0.00
239.txt	1	0.00	0.00
220.txt	1	22.22	11.11
234.txt	1	38.46	0.00
208.txt	1	50.00	0.00
195.txt	1	27.27	0.00
181.txt	1	50.00	0.00
57.txt	1	0.00	0.00
5.txt	1	0.00	0.00
43.txt	1	50.00	0.00
156.txt	1	0.00	0.00
142.txt	1	25.00	0.00
94.txt	1	27.27	0.00
80.txt	1	14.29	14.29
397.txt	1	50.00	0.00
383.txt	1	0.00	0.00
354.txt	1	0.00	0.00
432.txt	1	0.00	0.00
426.txt	1	0.00	0.00
340.txt	1	11.11	11.11
368.txt	1	25.00	0.00
369.txt	1	20.00	0.00
427.txt	1	23.08	0.00
341.txt	1	0.00	0.00
355.txt	1	8.33	0.00
433.txt	1	33.33	0.00
382.txt	1	0.00	0.00
396.txt	1	0.00	16.67
81.txt	1	0.00	25.00
95.txt	1	12.50	0.00
143.txt	1	14.29	14.29
157.txt	1	0.00	0.00
42.txt	1	0.00	0.00
56.txt	1	14.29	14.29
4.txt	1	0.00	0.00
180.txt	1	16.67	0.00
194.txt	1	20.00	0.00
209.txt	1	25.00	25.00
235.txt	1	38.46	0.00
221.txt	1	25.00	0.00
237.txt	1	25.00	0.00
223.txt	1	33.33	0.00
182.txt	1	0.00	0.00
196.txt	1	0.00	0.00
68.txt	1	50.00	0.00
40.txt	1	0.00	0.00
6.txt	1	0.00	0.00
54.txt	1	100.00	0.00
141.txt	1	0.00	0.00
155.txt	1	9.09	9.09
83.txt	1	0.00	0.00
169.txt	1	0.00	0.00
97.txt	1	25.00	0.00
380.txt	1	20.00	0.00
394.txt	1	0.00	0.00
343.txt	1	25.00	0.00
425.txt	1	100.00	0.00
431.txt	1	0.00	0.00
357.txt	1	20.00	0.00
419.txt	1	0.00	0.00
418.txt	1	50.00	0.00
430.txt	1	14.29	0.00
356.txt	1	10.00	0.00
342.txt	1	25.00	0.00
424.txt	1	100.00	0.00
395.txt	1	50.00	0.00
381.txt	1	20.00	20.00
168.txt	1	28.57	0.00
96.txt	1	0.00	0.00
82.txt	1	0.00	0.00
154.txt	1	11.11	22.22
140.txt	1	0.00	0.00
7.txt	1	25.00	0.00
55.txt	1	28.57	0.00
41.txt	1	0.00	0.00
197.txt	1	0.00	0.00
69.txt	1	0.00	0.00
183.txt	1	0.00	0.00
222.txt	1	0.00	0.00
236.txt	1	12.50	0.00
232.txt	1	50.00	0.00
226.txt	1	0.00	0.00
45.txt	1	42.86	0.00
51.txt	1	33.33	0.00
3.txt	1	0.00	0.00
187.txt	1	25.00	0.00
79.txt	1	0.00	0.00
193.txt	1	100.00	0.00
178.txt	1	0.00	0.00
86.txt	1	16.67	0.00
92.txt	1	0.00	33.33
144.txt	1	12.50	12.50
150.txt	1	0.00	0.00
385.txt	1	33.33	33.33
391.txt	1	0.00	0.00
408.txt	1	0.00	0.00
420.txt	1	0.00	0.00
346.txt	1	0.00	0.00
352.txt	1	0.00	0.00
434.txt	1	0.00	0.00
353.txt	1	25.00	0.00
435.txt	1	0.00	0.00
421.txt	1	0.00	0.00
